,ts_code,trade_date,pct_chg,amount
4389,688031.SH,20221018,60.5408,1341567.558
4652,688351.SH,20221018,19.9906,398846.012
2334,300878.SZ,20221018,19.9903,311053.234
2488,301041.SZ,20221018,19.9756,172478.81
1504,300013.SZ,20221018,19.9531,458396.533
4923,838402.BJ,20221018,19.4984,304424.365
2466,301018.SZ,20221018,17.2286,818433.541
4698,688428.SH,20221018,16.5362,540927.33
4553,688226.SH,20221018,15.885,209409.718
1791,300314.SZ,20221018,15.4153,408294.717
4921,838171.BJ,20221018,14.2162,51695.218
4787,688663.SH,20221018,13.605,449819.947
4440,688091.SH,20221018,13.5213,377003.404
4823,688772.SH,20221018,13.5094,411528.799
4944,873122.BJ,20221018,12.9228,38243.392
4818,688737.SH,20221018,12.7933,50682.32
4640,688331.SH,20221018,12.7349,320676.033
2439,300990.SZ,20221018,12.1945,296593.879
4720,688520.SH,20221018,12.1913,170533.707
4562,688235.SH,20221018,11.9885,812363.187
4569,688248.SH,20221018,11.3582,535758.884
1554,300068.SZ,20221018,10.8604,3106559.136
4648,688345.SH,20221018,10.848,128568.022
985,002501.SZ,20221018,10.2326,224220.348
1657,300174.SZ,20221018,10.119,293063.782
1235,002766.SZ,20221018,10.099,73156.567
681,002188.SZ,20221018,10.0901,38986.646
3065,600475.SH,20221018,10.0541,414355.15
3035,600421.SH,20221018,10.0448,62057.06
4172,603878.SH,20221018,10.0446,130539.191
320,000820.SZ,20221018,10.0427,50076.204
1239,002771.SZ,20221018,10.0402,162285.252
3797,603122.SH,20221018,10.0398,49055.053
740,002248.SZ,20221018,10.0372,42913.408
4188,603898.SH,20221018,10.0365,12923.026
4093,603711.SH,20221018,10.0358,31895.93
3359,600817.SH,20221018,10.0338,36127.318
1460,003010.SZ,20221018,10.0332,55018.919
3713,603011.SH,20221018,10.032,509305.246
1334,002873.SZ,20221018,10.031,298600.61
1365,002907.SZ,20221018,10.0281,300851.735
1250,002782.SZ,20221018,10.0249,232359.077
1480,003032.SZ,20221018,10.0203,135816.948
543,002045.SZ,20221018,10.0166,1334823.204
3660,601869.SH,20221018,10.012,365573.904
468,001238.SZ,20221018,10.0108,329398.625
441,000999.SZ,20221018,10.0092,800470.651
4319,605286.SH,20221018,10.0085,250914.31
3922,603331.SH,20221018,10.0081,109312.412
949,002462.SZ,20221018,10.0075,221995.562
4067,603676.SH,20221018,10.007,242303.332
933,002444.SZ,20221018,10.0051,616611.38
784,002294.SZ,20221018,10.0034,706624.818
37,000049.SZ,20221018,10.0023,760708.332
1262,002796.SZ,20221018,10.0,188513.922
639,002144.SZ,20221018,10.0,42484.431
1138,002659.SZ,20221018,10.0,788074.726
1469,003020.SZ,20221018,10.0,189687.356
1395,002940.SZ,20221018,10.0,261605.099
3153,600579.SH,20221018,10.0,30435.739
103,000509.SZ,20221018,10.0,46809.936
400,000948.SZ,20221018,9.9961,1227655.034
379,000915.SZ,20221018,9.9955,430492.713
1349,002889.SZ,20221018,9.9954,38075.443
1325,002864.SZ,20221018,9.9938,197589.481
3300,600750.SH,20221018,9.9932,553499.901
475,001269.SZ,20221018,9.9925,16469.693
518,002020.SZ,20221018,9.9917,661810.997
202,000638.SZ,20221018,9.9886,21123.231
589,002093.SZ,20221018,9.9882,59372.567
1273,002808.SZ,20221018,9.9877,443324.859
1238,002769.SZ,20221018,9.9869,59724.709
1266,002800.SZ,20221018,9.9849,366064.245
706,002213.SZ,20221018,9.9839,95577.515
1010,002528.SZ,20221018,9.9788,943895.116
467,001236.SZ,20221018,9.9754,646653.37
839,002349.SZ,20221018,9.9742,599490.099
3033,600419.SH,20221018,9.9727,201455.24
