,ts_code,trade_date,pct_chg,amount
2214,300752.SZ,20221017,20.0214,214549.228
4773,688628.SH,20221017,20.0161,185244.811
4770,688622.SH,20221017,20.0098,95926.022
2598,301178.SZ,20221017,20.0072,115940.191
2194,300730.SZ,20221017,20.0,783062.521
1648,300165.SZ,20221017,20.0,197985.723
1673,300192.SZ,20221017,20.0,187474.372
2266,300809.SZ,20221017,20.0,302737.091
4407,688056.SH,20221017,20.0,167607.128
2255,300797.SZ,20221017,20.0,113929.089
4766,688617.SH,20221017,19.9978,1266747.332
4712,688511.SH,20221017,19.993,50309.217
1868,300396.SZ,20221017,19.99,459657.247
1644,300161.SZ,20221017,19.9887,242315.314
1959,300488.SZ,20221017,19.9808,141532.416
4650,688351.SH,20221017,19.9774,264780.476
1817,300341.SZ,20221017,19.9768,431997.867
4537,688210.SH,20221017,18.7007,61675.659
4643,688337.SH,20221017,17.4173,278970.305
1791,300314.SZ,20221017,17.0093,303736.761
2676,301316.SZ,20221017,16.3392,706557.882
4732,688558.SH,20221017,16.1974,143489.949
4757,688600.SH,20221017,15.9375,279503.711
4375,688016.SH,20221017,15.883,1534445.362
2165,300698.SZ,20221017,15.5783,169104.36
4431,688083.SH,20221017,15.2386,330567.483
2184,300719.SZ,20221017,15.2174,366457.619
4605,688295.SH,20221017,14.9139,389498.739
4484,688150.SH,20221017,14.6124,106638.973
4797,688682.SH,20221017,14.4733,52533.851
4616,688308.SH,20221017,14.4366,136494.925
1979,300508.SZ,20221017,14.1935,99701.345
1986,300515.SZ,20221017,13.9896,68357.98
2653,301263.SZ,20221017,13.2245,186438.674
1501,300010.SZ,20221017,13.0303,607559.949
2209,300747.SZ,20221017,12.6399,247176.275
4614,688305.SH,20221017,12.0362,266327.615
4686,688398.SH,20221017,11.6751,28444.55
4781,688659.SH,20221017,11.4478,207977.162
2153,300686.SZ,20221017,11.4357,115246.393
4580,688266.SH,20221017,11.3823,276726.215
4508,688179.SH,20221017,11.3732,283518.882
4460,688115.SH,20221017,11.3317,60926.877
4410,688059.SH,20221017,11.3043,163461.795
1830,300354.SZ,20221017,11.2087,132316.288
1575,300089.SZ,20221017,11.0759,23361.21
4393,688037.SH,20221017,10.9333,485795.398
4805,688697.SH,20221017,10.9155,114705.756
2074,300606.SZ,20221017,10.8772,119006.54
1882,300410.SZ,20221017,10.8108,116947.127
2397,300946.SZ,20221017,10.5263,92350.912
2319,300862.SZ,20221017,10.2788,61127.725
985,002501.SZ,20221017,10.2564,91361.753
4828,688788.SH,20221017,10.2468,52237.223
4743,688577.SH,20221017,10.2368,22127.435
2421,300971.SZ,20221017,10.2326,66922.118
2924,600280.SH,20221017,10.1563,222779.091
128,000540.SZ,20221017,10.1351,314519.812
4619,688311.SH,20221017,10.0829,198725.517
1042,002560.SZ,20221017,10.0787,260253.462
1138,002659.SZ,20221017,10.0703,407177.924
1449,002999.SZ,20221017,10.0629,675062.651
667,002173.SZ,20221017,10.0601,231917.035
935,002446.SZ,20221017,10.0585,896368.031
1041,002559.SZ,20221017,10.0529,484808.285
607,002111.SZ,20221017,10.0484,59830.845
78,000409.SZ,20221017,10.0478,88264.472
1010,002528.SZ,20221017,10.0467,235826.16
4032,603609.SH,20221017,10.0461,297343.607
1170,002693.SZ,20221017,10.045,24512.664
1065,002583.SZ,20221017,10.0418,236886.305
791,002301.SZ,20221017,10.0413,98854.616
1273,002808.SZ,20221017,10.0407,110123.614
4188,603898.SH,20221017,10.0402,6937.68
2846,600185.SH,20221017,10.0394,239721.056
659,002165.SZ,20221017,10.0379,639401.477
3734,603036.SH,20221017,10.0334,98536.146
1365,002907.SZ,20221017,10.0309,108334.876
467,001236.SZ,20221017,10.0271,502198.207
242,000705.SZ,20221017,10.0264,294638.643
3465,600971.SH,20221017,10.0257,667648.581
878,002389.SZ,20221017,10.0246,517969.661
4325,605299.SH,20221017,10.0225,46502.442
738,002246.SZ,20221017,10.0196,994990.715
1280,002816.SZ,20221017,10.0174,65655.711
