code,name,amount,pct,,,,
603787.SH,新日股份,0.5692,9.9903,,,
003003.SZ,天元股份,0.3077,9.9893,,,
000638.SZ,万方发展,0.3756,9.9875,,,
601975.SH,招商南油,19.8299,9.9808,,,
002625.SZ,光启技术,3.3136,9.9807,,,
003032.SZ,传智教育,2.2491,9.9777,,,
603011.SH,合锻智能,3.6494,9.9765,,,
600605.SH,汇通能源,4.2791,9.9760,,,
002105.SZ,信隆健康,0.3835,9.9702,,,
000837.SZ,秦川机床,4.0456,9.9648,,,
002951.SZ,金时科技,0.5350,9.9626,,,
002093.SZ,国脉科技,0.5777,9.9483,,,
002248.SZ,华东数控,0.4742,9.9455,,,
603416.SH,信捷电气,3.8637,9.9371,,,
002261.SZ,拓维信息,2.3597,9.9359,,,
002075.SZ,沙钢股份,2.3350,9.9237,,,
688320.SH,禾川科技,1.0558,9.9146,,,
002486.SZ,嘉麟杰,1.8112,9.9125,,,
002172.SZ,澳洋健康,6.8000,9.9034,,,
688316.SH,青云科技-U,0.5424,9.8662,,,
688072.SH,拓荆科技-U,4.7917,9.6551,,,
688290.SH,景业智能,0.6143,9.6340,,,
300799.SZ,左江科技,2.2172,9.6107,,,
301338.SZ,凯格精机,1.4425,9.1493,,,
603863.SH,松炀资源,0.4473,9.1398,,,
300832.SZ,新产业,17.7173,9.1291,,,
002841.SZ,视源股份,4.2239,9.0226,,,
301193.SZ,家联科技,0.7584,8.9035,,,
688585.SH,上纬新材,0.1549,8.6705,,,
603915.SH,国茂股份,2.0378,8.4911,,,
688070.SH,纵横股份,0.6378,8.3880,,,
300845.SZ,捷安高科,0.9398,8.2793,,,
300112.SZ,万讯自控,1.2571,8.2519,,,
600083.SH,博信股份,0.4744,8.2294,,,
002371.SZ,北方华创,40.1842,8.0576,,,
300604.SZ,长川科技,7.8057,8.0412,,,
603595.SH,东尼电子,4.0400,8.0392,,,
600026.SH,中远海能,14.4560,7.9765,,,
688120.SH,华海清科,5.9187,7.9733,,,
300667.SZ,必创科技,0.8494,7.9620,,,
688123.SH,聚辰股份,1.7797,7.9584,,,
688023.SH,安恒信息,1.4865,7.9285,,,
430476.BJ,海能技术,1.2229,7.9044,,,
301199.SZ,迈赫股份,2.1320,7.8947,,,
300424.SZ,航新科技,1.4481,7.8466,,,
301321.SZ,翰博高新,0.5868,7.8385,,,
688272.SH,富吉瑞,0.1537,7.7910,,,
301129.SZ,瑞纳智能,0.5600,7.7601,,,
301029.SZ,怡合达,2.1263,7.7361,,,
300260.SZ,新莱应材,5.8345,7.7342,,,
300454.SZ,深信服,5.4380,7.6605,,,
838670.BJ,恒进感应,0.0833,7.5461,,,
002338.SZ,奥普光电,2.3568,7.5099,,,
300503.SZ,昊志机电,1.9959,7.5000,,,
300557.SZ,理工光科,0.3883,7.4820,,,
300278.SZ,华昌达,0.7864,7.4813,,,
430685.BJ,新芝生物,2.0843,7.4534,,,
000417.SZ,合肥百货,1.3953,7.4519,,,
688596.SH,正帆科技,3.4265,7.4086,,,
300592.SZ,华凯易佰,0.9474,7.3944,,,
688282.SH,理工导航,0.4150,7.3773,,,
301257.SZ,普蕊斯,0.7746,7.3240,,,
600243.SH,青海华鼎,0.9527,7.3048,,,
688260.SH,昀冢科技,0.1855,7.2923,,,
603690.SH,至纯科技,3.8222,7.2682,,,
002020.SZ,京新药业,10.0631,7.2631,,,
688270.SH,臻镭科技,1.3040,7.2476,,,
301313.SZ,凡拓数创,3.4167,7.2408,,,
300581.SZ,晨曦航空,2.2705,7.1982,,,
003025.SZ,思进智能,0.7200,7.1744,,,
003036.SZ,泰坦股份,0.8881,7.1605,,,
301231.SZ,荣信文化,1.4736,7.1396,,,
600976.SH,健民集团,4.9199,7.1092,,,
688118.SH,普元信息,0.7955,7.0809,,,
300282.SZ,ST三盛,0.9244,7.0476,,,
603823.SH,百合花,0.8885,7.0139,,,
688561.SH,奇安信-U,1.8273,6.9850,,,
600283.SH,钱江水利,1.6511,6.9692,,,
300359.SZ,全通教育,1.7324,6.9620,,,
688139.SH,海尔生物,1.8672,6.9601,,,
002778.SZ,中晟高科,0.4054,6.9466,,,
603920.SH,世运电路,1.5552,6.9396,,,
688133.SH,泰坦科技,2.6857,6.8947,,,
300955.SZ,嘉亨家化,0.5068,6.8900,,,
300779.SZ,惠城环保,0.2383,6.8676,,,
601872.SH,招商轮船,9.6264,6.8602,,,
000503.SZ,国新健康,4.8956,6.8548,,,
600760.SH,中航沈飞,13.4005,6.8493,,,
600688.SH,上海石化,4.2036,6.8111,,,
300553.SZ,集智股份,0.8450,6.8089,,,
605123.SH,派克新材,3.2168,6.7569,,,
300819.SZ,聚杰微纤,0.7747,6.7476,,,
002097.SZ,山河智能,1.4986,6.6879,,,
603331.SH,百达精工,0.3096,6.6840,,,
603232.SH,格尔软件,1.5596,6.6838,,,
688325.SH,赛微微电,0.4092,6.6799,,,
300353.SZ,东土科技,1.2297,6.6746,,,
300921.SZ,南凌科技,1.0496,6.6594,,,
688668.SH,鼎通科技,1.2644,6.6460,,,
301200.SZ,大族数控,1.1069,6.6417,,,
300489.SZ,光智科技,0.2517,6.5876,,,
301161.SZ,唯万密封,1.1578,6.5769,,,
688401.SH,路维光电,0.7042,6.5677,,,
300602.SZ,飞荣达,1.4410,6.5663,,,
300900.SZ,广联航空,1.7668,6.5593,,,
603187.SH,海容冷链,1.0258,6.5501,,,
603612.SH,索通发展,5.1116,6.5310,,,
600143.SH,金发科技,4.4405,6.5107,,,
603138.SH,海量数据,7.5970,6.4899,,,
002339.SZ,积成电子,3.8463,6.4516,,,
603032.SH,德新交运,4.4572,6.4434,,,
603269.SH,海鸥股份,0.7014,6.4060,,,
300711.SZ,广哈通信,1.0284,6.4035,,,
688722.SH,同益中,0.8565,6.3753,,,
603100.SH,川仪股份,3.4394,6.3694,,,
300416.SZ,苏试试验,2.5156,6.3594,,,
000100.SZ,TCL科技,16.1496,6.3415,,,
300517.SZ,海波重科,0.8312,6.3253,,,
300249.SZ,依米康,4.3628,6.3158,,,
300607.SZ,拓斯达,0.8901,6.3005,,,
300083.SZ,创世纪,3.1523,6.2975,,,
688510.SH,航亚科技,0.3179,6.2538,,,
301163.SZ,宏德股份,0.7126,6.2521,,,
688513.SH,苑东生物,0.8694,6.2140,,,
688246.SH,嘉和美康,0.3865,6.2075,,,
603388.SH,元成股份,1.3162,6.2069,,,
688618.SH,三旺通信,0.1411,6.1856,,,
300366.SZ,创意信息,1.9400,6.1828,,,
300124.SZ,汇川技术,19.3610,6.1093,,,
688356.SH,键凯科技,2.6235,6.0974,,,
301248.SZ,杰创智能,0.6343,6.0948,,,
300369.SZ,绿盟科技,2.9768,6.0897,,,
688080.SH,映翰通,0.2799,6.0836,,,
688387.SH,信科移动-U,5.6859,6.0823,,,
688526.SH,科前生物,0.6383,6.0699,,,
000584.SZ,哈工智能,1.8533,6.0653,,,
300415.SZ,伊之密,3.1093,6.0636,,,
600195.SH,中牧股份,3.4762,6.0452,,,
603878.SH,武进不锈,0.8249,6.0355,,,
603868.SH,飞科电器,1.2404,6.0267,,,
300121.SZ,阳谷华泰,1.9967,6.0105,,,
