,ts_code,trade_date,pct_chg,amount
1562,300071.SZ,20221114,20.0913,1174820.871
1545,300052.SZ,20221114,20.0229,750239.824
2630,301211.SZ,20221114,20.0189,605878.721
1913,300436.SZ,20221114,20.0,1521404.518
1911,300434.SZ,20221114,20.0,239087.104
4681,688357.SH,20221114,19.9981,471363.353
1838,300356.SZ,20221114,19.9005,138603.868
2704,301367.SZ,20221114,19.3843,1230100.978
1577,300086.SZ,20221114,18.7411,907659.109
1636,300147.SZ,20221114,17.8808,861227.612
2262,300799.SZ,20221114,17.0042,303387.494
4817,688665.SH,20221114,16.4009,245276.478
2132,300659.SZ,20221114,15.5029,367653.363
2534,301087.SZ,20221114,14.0042,495704.267
4768,688566.SH,20221114,13.1905,131240.694
2394,300937.SZ,20221114,13.1243,286663.645
1846,300366.SZ,20221114,12.7184,892626.269
2702,301363.SZ,20221114,12.2665,594833.777
1532,300039.SZ,20221114,12.2581,827791.519
1945,300468.SZ,20221114,11.7493,1116764.739
4540,688185.SH,20221114,11.7139,2489283.076
1691,300206.SZ,20221114,11.7073,392956.435
2133,300660.SZ,20221114,10.8603,432742.288
4479,688109.SH,20221114,10.2932,44123.591
3037,600393.SH,20221114,10.2564,171622.344
1039,002551.SZ,20221114,10.0642,261719.734
61,000153.SZ,20221114,10.0552,164042.825
959,002467.SZ,20221114,10.0548,2242621.765
107,000516.SZ,20221114,10.041,1221140.817
4234,603937.SH,20221114,10.0389,161782.67
187,000620.SZ,20221114,10.0334,935253.344
3989,603439.SH,20221114,10.033,657525.656
191,000626.SZ,20221114,10.0307,169801.086
687,002188.SZ,20221114,10.0304,33969.363
4245,603963.SH,20221114,10.0262,424788.376
383,000919.SZ,20221114,10.0254,386269.418
1227,002750.SZ,20221114,10.0248,1857961.226
3166,600571.SH,20221114,10.0225,381784.364
277,000756.SZ,20221114,10.018,2099684.899
813,002317.SZ,20221114,10.0126,5010344.027
1437,002980.SZ,20221114,10.0118,177045.607
316,000815.SZ,20221114,10.0109,87346.356
469,001238.SZ,20221114,10.0108,346671.447
3029,600383.SH,20221114,10.0103,2953209.452
442,000999.SZ,20221114,10.0098,1024930.553
1138,002653.SZ,20221114,10.0091,191083.172
3804,603102.SH,20221114,10.0054,74772.579
3555,601155.SH,20221114,10.0053,199401.754
1215,002737.SZ,20221114,10.0042,315351.417
2897,600222.SH,20221114,10.0,518708.618
3152,600556.SH,20221114,10.0,1767017.869
345,000863.SZ,20221114,10.0,110974.927
256,000721.SZ,20221114,10.0,1884431.933
4339,605266.SH,20221114,10.0,318265.075
4145,603778.SH,20221114,10.0,714730.479
1231,002755.SZ,20221114,10.0,122690.068
4200,603883.SH,20221114,10.0,856472.524
3412,600855.SH,20221114,10.0,288267.31
1223,002746.SZ,20221114,10.0,545738.731
4144,603777.SH,20221114,10.0,440761.261
1376,002912.SZ,20221114,10.0,240333.627
283,000766.SZ,20221114,10.0,145373.142
3892,603233.SH,20221114,10.0,500203.923
1091,002603.SZ,20221114,9.9968,4472980.557
1206,002727.SZ,20221114,9.9967,898212.509
1207,002728.SZ,20221114,9.9946,927119.148
721,002223.SZ,20221114,9.9886,2098953.633
1263,002790.SZ,20221114,9.9878,125369.875
3161,600566.SH,20221114,9.9868,975141.405
4331,605199.SH,20221114,9.9824,498003.095
1446,002989.SZ,20221114,9.9795,72536.31
804,002308.SZ,20221114,9.9792,561065.271
1430,002972.SZ,20221114,9.9791,162378.091
3153,600557.SH,20221114,9.9784,634169.545
204,000650.SZ,20221114,9.9698,1705892.69
546,002043.SZ,20221114,9.9648,717141.318
2789,600095.SH,20221114,9.9591,1106757.039
1005,002516.SZ,20221114,9.9585,356429.669
3205,600613.SH,20221114,9.9548,219600.543
251,000716.SZ,20221114,9.9537,415412.42
1646,300158.SZ,20221114,9.9494,753920.695
3247,600665.SH,20221114,9.9432,127587.812
674,002175.SZ,20221114,9.9432,487441.375
3479,600965.SH,20221114,9.9349,137921.059
2034,300559.SZ,20221114,9.6509,269305.023
2015,300539.SZ,20221114,9.5921,122834.838
106,000514.SZ,20221114,9.5823,379367.611
2821,600129.SH,20221114,9.4484,593064.279
767,002271.SZ,20221114,9.4327,5132938.758
3922,603301.SH,20221114,9.3784,266210.22
4435,688060.SH,20221114,9.2986,62202.742
2058,300584.SZ,20221114,9.1904,456903.143
4110,603701.SH,20221114,8.9536,399353.68
1321,002853.SZ,20221114,8.9083,484699.319
2694,301331.SZ,20221114,8.8229,354813.002
2331,300869.SZ,20221114,8.7691,413929.149
919,002424.SZ,20221114,8.7201,795068.798
2392,300935.SZ,20221114,8.7195,153642.752
2175,300702.SZ,20221114,8.6747,369670.583
3391,600829.SH,20221114,8.6721,551998.116
2555,301111.SZ,20221114,8.6192,274361.471
4505,688137.SH,20221114,8.5263,300033.203
1419,002960.SZ,20221114,8.5185,399141.967
2037,300562.SZ,20221114,8.478,210575.654
523,002020.SZ,20221114,8.2605,495761.79
2440,300986.SZ,20221114,8.1506,228133.161
4748,688519.SH,20221114,8.1324,132808.42
3181,600587.SH,20221114,8.0916,569115.085
1524,300030.SZ,20221114,8.0272,159600.515
3977,603388.SH,20221114,8.0099,147430.353
2010,300534.SZ,20221114,8.0,588550.299
4055,603609.SH,20221114,7.9414,455573.596
4535,688180.SH,20221114,7.8915,1826769.049
1054,002566.SZ,20221114,7.8829,523826.217
2194,300723.SZ,20221114,7.8594,265468.558
1381,002918.SZ,20221114,7.8468,402943.155
4941,836826.BJ,20221114,7.8385,7710.468
3569,601199.SH,20221114,7.7586,180771.241
3828,603138.SH,20221114,7.6724,543507.353
3375,600812.SH,20221114,7.6555,334355.783
1737,300253.SZ,20221114,7.5869,900512.716
3488,600976.SH,20221114,7.4457,263249.528
1757,300273.SZ,20221114,7.438,90537.769
883,002388.SZ,20221114,7.4344,292512.637
2650,301235.SZ,20221114,7.4279,283568.527
2017,300541.SZ,20221114,7.4134,401321.381
1959,300482.SZ,20221114,7.3554,1317266.993
1657,300169.SZ,20221114,7.3276,126679.171
1382,002919.SZ,20221114,7.3226,133220.966
4236,603939.SH,20221114,7.3223,980907.056
4122,603719.SH,20221114,7.3202,272510.091
1457,003002.SZ,20221114,7.3059,159639.69
1521,300026.SZ,20221114,7.2948,1149111.139
2470,301017.SZ,20221114,7.2716,139445.803
4475,688105.SH,20221114,7.2365,184766.298
4704,688386.SH,20221114,7.1852,143475.982
4132,603737.SH,20221114,7.153,971707.43
