code,name,amount,pct,,,,
300648.SZ,星云股份,3.0876,7.9603,,,,
300955.SZ,嘉亨家化,0.7709,7.9029,,,,
300240.SZ,飞力达,2.0362,7.7684,,,,
830946.BJ,森萱医药,0.7688,7.7273,,,,
001317.SZ,三羊马,1.7669,7.7109,,,,
001267.SZ,汇绿生态,3.6668,7.6087,,,,
002903.SZ,宇环数控,8.1807,7.6003,,,,
688819.SH,天能股份,2.2657,7.4094,,,,
301268.SZ,铭利达,1.9308,7.3991,,,,
688621.SH,阳光诺和,1.3198,7.3789,,,,
688125.SH,安达智能,0.6102,7.3498,,,,
605222.SH,起帆电缆,3.6275,7.2600,,,,
002262.SZ,恩华药业,6.1017,7.2487,,,,
600875.SH,东方电气,10.2971,7.2356,,,,
000819.SZ,岳阳兴长,3.9380,7.1355,,,,
002866.SZ,传艺科技,15.8120,7.0841,,,,
600827.SH,百联股份,1.9601,7.0588,,,,
688016.SH,心脉医疗,10.9032,7.0448,,,,
600079.SH,人福医药,14.1067,7.0401,,,,
002317.SZ,众生药业,5.2573,7.0039,,,,
601089.SH,福元医药,2.7301,6.9872,,,,
300693.SZ,盛弘股份,7.8577,6.9869,,,,
001205.SZ,盛航股份,0.8604,6.9860,,,,
301125.SZ,腾亚精工,0.8191,6.8000,,,,
600152.SH,维科技术,10.8288,6.7544,,,,
002121.SZ,科陆电子,16.8652,6.7245,,,,
300996.SZ,普联软件,2.6692,6.6862,,,,
600515.SH,海航基础,6.0447,6.6838,,,,
600487.SH,亨通光电,13.0151,6.6632,,,,
833943.BJ,优机股份,0.1248,6.6589,,,,
688385.SH,复旦微电,4.9547,6.6321,,,,
001255.SZ,博菲电气,2.9088,6.5125,,,,
603339.SH,四方科技,1.8502,6.4892,,,,
300630.SZ,普利制药,2.7448,6.4640,,,,
688670.SH,金迪克,0.4249,6.4262,,,,
605128.SH,上海沿浦,0.8674,6.4191,,,,
300395.SZ,菲利华,3.6926,6.3636,,,,
300662.SZ,科锐国际,2.0080,6.3526,,,,
601369.SH,陕鼓动力,4.4966,6.3507,,,,
603963.SH,大理药业,2.2820,6.3365,,,,
688722.SH,同益中,0.9655,6.3316,,,,
688192.SH,迪哲医药-U,0.6248,6.3205,,,,
002335.SZ,科华数据,11.3456,6.2567,,,,
000721.SZ,西安饮食,2.4269,6.2201,,,,
002706.SZ,良信股份,1.9026,6.2016,,,,
300737.SZ,科顺股份,2.6788,6.1886,,,,
002549.SZ,凯美特气,2.9626,6.1780,,,,
002014.SZ,永新股份,0.5825,6.1381,,,,
688578.SH,艾力斯-U,1.7393,6.1380,,,,
300547.SZ,川环科技,0.9587,6.1237,,,,
688658.SH,悦康药业,2.2164,6.1151,,,,
603569.SH,长久物流,1.6295,6.0990,,,,
002603.SZ,以岭药业,19.4242,6.0808,,,,
600129.SH,太极集团,4.0521,6.0746,,,,
001283.SZ,豪鹏科技,1.9600,6.0617,,,,
002675.SZ,东诚药业,5.1353,6.0213,,,,
002836.SZ,新宏泽,1.3323,5.9957,,,,
300796.SZ,贝斯美,1.1920,5.9880,,,,
300926.SZ,博俊科技,1.3935,5.9752,,,,
603611.SH,诺力股份,2.6988,5.9524,,,,
603610.SH,麒盛科技,2.3687,5.9259,,,,
688768.SH,容知日新,1.3168,5.8307,,,,
300586.SZ,美联新材,5.9148,5.8263,,,,
002694.SZ,顾地科技,0.3276,5.8091,,,,
835207.BJ,众诚科技,0.2731,5.8041,,,,
600380.SH,健康元,4.2276,5.7895,,,,
300653.SZ,正海生物,4.4408,5.7126,,,,
000838.SZ,财信发展,1.9239,5.6795,,,,
300452.SZ,山河药辅,2.5303,5.6680,,,,
002028.SZ,思源电气,3.2106,5.6547,,,,
688707.SH,振华新材,4.7351,5.6297,,,,
300814.SZ,中富电路,1.0187,5.6213,,,,
000739.SZ,普洛药业,9.3046,5.6203,,,,
688389.SH,普门科技,3.0826,5.6180,,,,
603379.SH,三美股份,2.3818,5.5825,,,,
002169.SZ,智光电气,7.2685,5.5616,,,,
603297.SH,永新光学,5.3733,5.5231,,,,
002467.SZ,二六三,3.8421,5.5156,,,,
300785.SZ,值得买,3.6091,5.5038,,,,
300421.SZ,力星股份,1.0969,5.5007,,,,
688013.SH,天臣医疗,0.8418,5.4343,,,,
600193.SH,创兴资源,0.5069,5.4206,,,,
002210.SZ,飞马国际,2.8565,5.3942,,,,
000529.SZ,广弘控股,2.5790,5.3763,,,,
301155.SZ,海力风电,4.0138,5.3342,,,,
600933.SH,爱柯迪,2.2147,5.3230,,,,
000885.SZ,城发环境,2.1617,5.3004,,,,
603100.SH,川仪股份,2.8497,5.2632,,,,
002773.SZ,康弘药业,6.3151,5.2601,,,,
300832.SZ,新产业,12.9426,5.2115,,,,
600285.SH,羚锐制药,3.3876,5.1978,,,,
002653.SZ,海思科,1.0242,5.1772,,,,
002765.SZ,蓝黛科技,2.4532,5.1493,,,,
600666.SH,*ST瑞德,0.6214,5.1402,,,,
603356.SH,华菱精工,0.3719,5.1398,,,,
603191.SH,望变电气,2.9799,5.1282,,,,
600818.SH,中路股份,1.8564,5.1201,,,,
300594.SZ,朗进科技,0.3855,5.1122,,,,
600719.SH,ST热电,0.0868,5.1111,,,,
