,ts_code,trade_date,pct_chg,amount
2321,300859.SZ,20221111,6.7035,601761.215
3850,603180.SH,20221111,6.7002,108675.432
1207,002729.SZ,20221111,6.6989,141584.515
997,002508.SZ,20221111,6.6815,542221.496
2545,301099.SZ,20221111,6.6704,182291.549
3212,600622.SH,20221111,6.6667,338313.054
2781,600082.SH,20221111,6.5868,256948.603
847,002352.SZ,20221111,6.5301,1946352.608
256,000721.SZ,20221111,6.5217,1873238.501
395,000933.SZ,20221111,6.4968,1252514.48
3364,600801.SH,20221111,6.3592,349785.498
706,002208.SZ,20221111,6.354,186876.227
4785,688596.SH,20221111,6.3333,352889.961
2520,301071.SZ,20221111,6.3283,568288.449
1262,002789.SZ,20221111,6.2911,140618.491
481,001298.SZ,20221111,6.2845,504030.419
2744,600031.SH,20221111,6.2834,2708842.312
3195,600603.SH,20221111,6.274,423207.287
106,000514.SZ,20221111,6.2663,171191.727
3673,601838.SH,20221111,6.2642,741993.133
503,001979.SZ,20221111,6.2455,1576464.804
4144,603777.SH,20221111,6.2315,248392.667
3330,600763.SH,20221111,6.2291,1813538.212
4055,603609.SH,20221111,6.2244,304023.339
491,001322.SZ,20221111,6.2069,546393.577
3637,601636.SH,20221111,6.1988,832554.333
2233,300767.SZ,20221111,6.1935,110544.457
69,000333.SZ,20221111,6.1904,3734773.54
4221,603916.SH,20221111,6.1688,133695.192
4835,688690.SH,20221111,6.1594,280159.92
1528,300033.SZ,20221111,6.1376,1581733.893
1273,002801.SZ,20221111,6.1268,79231.545
2122,300649.SZ,20221111,6.1183,149164.074
3460,600926.SH,20221111,6.1175,722413.604
2977,600322.SH,20221111,6.1033,183125.228
50,000069.SZ,20221111,6.087,576885.275
3861,603195.SH,20221111,6.0678,262468.538
145,000560.SZ,20221111,6.0241,358277.826
1487,003033.SZ,20221111,6.0198,72730.551
2776,600077.SH,20221111,6.0071,206238.455
2966,600309.SH,20221111,6.0064,1801229.665
529,002027.SZ,20221111,5.948,1357042.273
2993,600340.SH,20221111,5.9322,342130.681
3021,600376.SH,20221111,5.913,242457.875
3265,600690.SH,20221111,5.9034,1261451.674
4741,688508.SH,20221111,5.8735,305479.859
904,002410.SZ,20221111,5.8316,1108384.696
3172,600579.SH,20221111,5.7949,84874.664
410,000960.SZ,20221111,5.7781,601097.511
2186,300715.SZ,20221111,5.765,92719.821
3355,600791.SH,20221111,5.7269,118993.745
33,000042.SZ,20221111,5.7034,198158.49
3259,600683.SH,20221111,5.6842,185852.046
4034,603579.SH,20221111,5.6798,441346.697
2942,600280.SH,20221111,5.6716,128152.269
55,000090.SZ,20221111,5.6711,358220.07
386,000923.SZ,20221111,5.6604,166037.136
3501,600992.SH,20221111,5.6284,733383.63
4073,603639.SH,20221111,5.6098,73605.162
1574,300083.SZ,20221111,5.6065,516976.167
2134,300661.SZ,20221111,5.585,991633.087
1426,002968.SZ,20221111,5.5556,63635.461
2279,300817.SZ,20221111,5.5447,68544.185
1769,300285.SZ,20221111,5.5409,229222.448
4293,605080.SH,20221111,5.4297,50054.971
3058,600426.SH,20221111,5.4277,746963.741
2855,600173.SH,20221111,5.4206,78508.616
2433,300979.SZ,20221111,5.3996,250429.009
1913,300436.SZ,20221111,5.3922,1547072.704
4793,688608.SH,20221111,5.3436,186594.91
228,000683.SZ,20221111,5.3314,526470.583
1552,300059.SZ,20221111,5.331,9472463.466
4680,688355.SH,20221111,5.3157,108314.363
4869,830832.BJ,20221111,5.2805,4440.422
4701,688381.SH,20221111,5.2645,301049.95
2657,301257.SZ,20221111,5.2511,153041.128
4428,688052.SH,20221111,5.2376,397829.127
3631,601615.SH,20221111,5.2233,2860099.597
3396,600836.SH,20221111,5.2202,298933.121
310,000807.SZ,20221111,5.2156,1097900.266
2696,301336.SZ,20221111,5.1846,105290.455
2170,300697.SZ,20221111,5.1675,69763.227
3921,603300.SH,20221111,5.1643,188503.417
1886,300408.SZ,20221111,5.1629,645180.52
426,000978.SZ,20221111,5.1532,354186.632
0,000001.SZ,20221111,5.1518,2878557.392
156,000573.SZ,20221111,5.1429,293233.971
3326,600758.SH,20221111,5.122,458745.248
1213,002735.SZ,20221111,5.1086,322793.948
2301,300839.SZ,20221111,5.0847,123110.428
3313,600743.SH,20221111,5.0847,81746.92
3253,600675.SH,20221111,5.0781,70800.571
4246,603966.SH,20221111,5.0713,113381.27
3641,601668.SH,20221111,5.071,2086459.602
152,000568.SZ,20221111,5.0587,3455169.027
780,002285.SZ,20221111,5.0542,168801.233
349,000877.SZ,20221111,5.0299,193440.609
511,002008.SZ,20221111,5.0154,1062010.751
2215,300747.SZ,20221111,5.0,195355.314
68,000301.SZ,20221111,4.9811,729984.534
1516,300019.SZ,20221111,4.9693,223565.139
2961,600303.SH,20221111,4.9536,721834.694
302,000797.SZ,20221111,4.947,226094.144
2756,600053.SH,20221111,4.931,147553.145
2525,301077.SZ,20221111,4.9266,60695.229
4439,688065.SH,20221111,4.9223,167755.2
220,000672.SZ,20221111,4.9196,256587.677
3878,603217.SH,20221111,4.9034,129259.388
4008,603516.SH,20221111,4.8925,92224.561
3079,600466.SH,20221111,4.878,336649.635
1779,300295.SZ,20221111,4.8698,155110.986
3233,600649.SH,20221111,4.8649,131636.318
3589,601318.SH,20221111,4.8622,4184006.246
96,000498.SZ,20221111,4.8571,416838.971
4003,603506.SH,20221111,4.8454,61003.96
3989,603439.SH,20221111,4.8443,775409.829
2226,300759.SZ,20221111,4.839,2028148.641
519,002016.SZ,20221111,4.8128,93221.347
1692,300207.SZ,20221111,4.8042,1186397.883
3749,603028.SH,20221111,4.8035,55454.044
3329,600761.SH,20221111,4.7791,245643.34
3640,601666.SH,20221111,4.7741,553018.121
430,000983.SZ,20221111,4.7737,1157087.426
4422,688046.SH,20221111,4.7619,85393.792
4086,603666.SH,20221111,4.758,199314.258
4749,688519.SH,20221111,4.7548,43641.229
384,000921.SZ,20221111,4.7129,256371.401
3102,600497.SH,20221111,4.7059,864192.26
4351,605305.SH,20221111,4.7056,107224.615
3686,601882.SH,20221111,4.6978,373455.536
871,002377.SZ,20221111,4.6931,82568.768
148,000564.SZ,20221111,4.6875,1326468.483
66,000159.SZ,20221111,4.6838,157489.692
3495,600985.SH,20221111,4.6818,311459.433
4060,603615.SH,20221111,4.6814,52880.353
999,002511.SZ,20221111,4.6756,332149.669
493,001330.SZ,20221111,4.6711,587530.029
3995,603486.SH,20221111,4.6709,369653.939
4372,605499.SH,20221111,4.6601,192982.615
1237,002761.SZ,20221111,4.6501,1238388.947
4660,688325.SH,20221111,4.6439,69495.125
4434,688059.SH,20221111,4.6317,98192.104
4172,603826.SH,20221111,4.6218,179332.978
4759,688551.SH,20221111,4.6203,35943.707
1991,300514.SZ,20221111,4.6154,94752.02
1789,300305.SZ,20221111,4.6036,80736.723
3240,600658.SH,20221111,4.5918,70884.947
423,000975.SZ,20221111,4.576,1431954.062
3280,600708.SH,20221111,4.5662,109050.074
3991,603456.SH,20221111,4.5623,658841.673
638,002138.SZ,20221111,4.5243,345451.262
