,index,ts_code,trade_date,pct_chg,amount
125,4628,688320.SH,20221017,9.9146,105583.66
126,970,002486.SZ,20221017,9.9125,181116.363
127,666,002172.SZ,20221017,9.9034,680000.973
128,4624,688316.SH,20221017,9.8662,54243.639
129,4421,688072.SH,20221017,9.6551,479173.05
130,4602,688290.SH,20221017,9.634,61433.278
131,2257,300799.SZ,20221017,9.6107,221716.432
132,2687,301338.SZ,20221017,9.1493,144251.361
133,4164,603863.SH,20221017,9.1398,44731.32
134,2289,300832.SZ,20221017,9.1291,1771728.924
135,1304,002841.SZ,20221017,9.0226,422393.197
136,2612,301193.SZ,20221017,8.9035,75841.199
137,4747,688585.SH,20221017,8.6705,15485.401
138,4197,603915.SH,20221017,8.4911,203775.576
139,4419,688070.SH,20221017,8.388,63781.381
140,2302,300845.SZ,20221017,8.2793,93982.871
141,1596,300112.SZ,20221017,8.2519,125712.084
142,2764,600083.SH,20221017,8.2294,47439.013
143,860,002371.SZ,20221017,8.0576,4018423.585
144,2072,300604.SZ,20221017,8.0412,780572.178
145,4020,603595.SH,20221017,8.0392,403997.633
146,2721,600026.SH,20221017,7.9765,1445598.922
147,4465,688120.SH,20221017,7.9733,591868.982
148,2134,300667.SZ,20221017,7.962,84939.478
149,4468,688123.SH,20221017,7.9584,177966.904
150,4382,688023.SH,20221017,7.9285,148651.825
151,2697,430476.BJ,20221017,7.9044,122294.737
152,2617,301199.SZ,20221017,7.8947,213195.035
153,1896,300424.SZ,20221017,7.8466,144806.78
154,2679,301321.SZ,20221017,7.8385,58680.906
155,4586,688272.SH,20221017,7.791,15367.416
156,2566,301129.SZ,20221017,7.7601,56003.639
157,2477,301029.SZ,20221017,7.7361,212625.902
158,1738,300260.SZ,20221017,7.7342,583446.153
159,1925,300454.SZ,20221017,7.6605,543803.605
160,4921,838670.BJ,20221017,7.5461,8329.931
161,828,002338.SZ,20221017,7.5099,235682.884
162,1974,300503.SZ,20221017,7.5,199587.365
163,2026,300557.SZ,20221017,7.482,38832.391
164,1756,300278.SZ,20221017,7.4813,78643.424
165,2701,430685.BJ,20221017,7.4534,208426.034
166,84,000417.SZ,20221017,7.4519,139533.945
167,4753,688596.SH,20221017,7.4086,342648.201
168,2060,300592.SZ,20221017,7.3944,94739.317
